JPT_SJR_KO,C,3;JPT_POWIER,N,19,11;JPT_KOD_JE,C,20;JPT_NAZWA_,C,128;JPT_ORGAN_,C,254;JPT_JOR_ID,N,9,0;WERSJA_OD,D;WERSJA_DO,D;WAZNY_OD,D;WAZNY_DO,D;JPT_KOD__1,C,3;JPT_NAZWA1,C,3;JPT_ORGAN1,C,3;JPT_WAZNA_,C,3;ID_BUFORA_,N,19,11;ID_BUFORA1,N,19,11;ID_TECHNIC,N,9,0;IIP_PRZEST,C,20;IIP_IDENTY,C,128;IIP_WERSJA,C,32;JPT_KJ_IIP,C,20;JPT_KJ_I_1,C,128;JPT_KJ_I_2,C,32;JPT_OPIS,C,254;JPT_SPS_KO,C,3;ID_BUFOR_1,N,9,0;JPT_ID,N,9,0;JPT_POWI_1,N,19,11;JPT_KJ_I_3,C,3;JPT_GEOMET,N,19,11;JPT_GEOM_1,N,19,11;Shape_Leng,N,19,11;Shape_Area,N,19,11;REGONREGON,C,254
WOJ;1954681;22;pomorskie;;0;20.09.2023;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;345614;0;829375;PL.PZGIK.200;ece93e09-0215-42f3-8067-be0649f58d46;2023-09-20T14:22:21+02:00;EGIB;22;;;UZG;0;1368978;0;;0;0;11,7107725143;2,6894498587;19167483600000
WOJ;1518359;12;małopolskie;;0;14.11.2023;2.01.1;26.09.2012;2.01.1;;;NZN;BRK;349776;0;1331327;PL.PZGIK.200;dd2e3c64-f861-47cf-a3a3-e7751f272b2f;2023-11-14T15:13:56+01:00;EGIB;12;;;UZG;0;1369522;0;;0;0;11,4286349636;1,8985112604;35155428700000
WOJ;1821898;10;łódzkie;;0;14.12.2021;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;250411;0;829367;PL.PZGIK.200;7d7e4145-814d-4159-8d85-e91946e444c5;2021-12-14T14:03:12+01:00;EGIB;10;;;UZG;0;1361704;0;;0;0;12,0791841816;2,3636202165;47205762600000
WOJ;2417371;28;warmińsko-mazurskie;;0;12.07.2022;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;279780;0;829377;PL.PZGIK.200;45e7cfc6-6d8b-42ff-acbd-ef1d0a53dacb;2022-07-12T12:47:42+02:00;EGIB;28;;;UZG;0;1364843;0;;0;0;12,7928354234;3,3008070204;51074233300000
WOJ;1398772;08;lubuskie;;0;9.12.2022;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;311999;0;829368;PL.PZGIK.200;42d2335f-bd81-491e-b93c-effe1bcab872;2022-12-09T10:03:03+01:00;EGIB;08;;;UZG;0;1366622;0;;0;0;11,0914657;1,8385017765;97789593100000
WOJ;941160;16;opolskie;;0;8.05.2023;2.01.1;26.09.2012;2.01.1;;;NZN;BRK;331624;0;1331326;PL.PZGIK.200;9bd0c42a-ca40-4b7d-9b5b-81aae3398015;2023-05-08T09:00:39+02:00;EGIB;16;;;UZG;0;1367817;0;;0;0;9,0055633818;1,1962003973;53141242100000
WOJ;1994704;02;dolnośląskie;;0;31.10.2023;2.01.1;26.09.2012;2.01.1;;;NZN;BRK;348900;0;1331328;PL.PZGIK.200;f1ef3856-09ba-4e3d-af9d-a876794d570f;2023-10-31T13:17:00+01:00;EGIB;02;;;UZG;0;1369423;0;;0;0;13,8460082993;2,5591701262;93193464400000
WOJ;1170878;26;świętokrzyskie;;0;21.03.2022;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;260889;0;829374;PL.PZGIK.200;d021c0dd-b22e-4fcd-8444-904c64ec3aa8;2022-03-21T09:42:45+01:00;EGIB;26;;;UZG;0;1363473;0;;0;0;9,2570603731;1,4918234884;29100933700000
WOJ;2290740;32;zachodniopomorskie;;0;20.09.2023;2.01.1;26.09.2012;2.01.1;;;NZN;BRK;345614;0;1331322;PL.PZGIK.200;c3f2202a-b491-49c5-a3af-d581108d939a;2023-09-20T14:22:21+02:00;EGIB;32;;;UZG;0;1368980;0;;0;0;12,1338746313;3,1082548704;81168387600000
WOJ;1797155;04;kujawsko-pomorskie;;0;30.03.2022;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;262644;0;829380;PL.PZGIK.200;c26354a4-3043-4ca9-9105-df6f0f9c1d93;2022-03-30T08:54:03+02:00;EGIB;04;;;UZG;0;1363545;0;;0;0;12,3969283997;2,4094137267;09235061300000
WOJ;1233407;24;śląskie;;0;7.09.2023;2.01.1;26.09.2012;2.01.1;;;NZN;BRK;343512;0;1331323;PL.PZGIK.200;98a63fe6-1e56-4d05-9c47-ab4233f8a6ff;2023-09-07T09:20:34+02:00;EGIB;24;;;UZG;0;1368876;0;;0;0;12,1291973896;1,557333162;27625465000000
WOJ;2018685;20;podlaskie;;0;12.07.2022;2.01.1;26.09.2012;2.01.1;;;NZN;BRK;279780;0;1331324;PL.PZGIK.200;53ad7aea-d9d3-40c9-9a5c-ff737d5b076e;2022-07-12T12:47:42+02:00;EGIB;20;;;UZG;0;1364844;0;;0;0;11,1025516015;2,7184809712;05065840400000
WOJ;2982675;30;wielkopolskie;;0;31.10.2023;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;348900;0;829372;PL.PZGIK.200;c606b01a-76c8-480d-9470-f24ca0d7a613;2023-10-31T13:17:00+01:00;EGIB;30;;;UZG;0;1369422;0;;0;0;18,4097061571;3,9321993513;63125781600000
WOJ;3555871;14;mazowieckie;;0;27.05.2022;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;271855;0;829370;PL.PZGIK.200;4b6c492a-eb04-441d-a92a-f44359c06de7;2022-05-27T13:18:46+02:00;EGIB;14;;;UZG;0;1364209;0;;0;0;20,2186563045;4,6894591603;01552891000000
WOJ;2512243;06;lubelskie;;0;8.06.2022;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;273404;0;829365;PL.PZGIK.200;a1e8cdc7-d26d-4982-946f-ff3e5082eecd;2022-06-08T14:53:54+02:00;EGIB;06;;;UZG;0;1364432;0;;0;0;14,1103438788;3,2323120823;43101917000000
WOJ;1784537;18;podkarpackie;;0;6.12.2022;2.01.1;26.09.2012;2.01.1;;;NZN;BRK;311050;0;1331325;PL.PZGIK.200;833fe14b-fe8e-40c7-9e4e-fc27c938bb11;2022-12-06T12:44:16+01:00;EGIB;18;;;UZG;0;1366391;0;;0;0;11,2224322272;2,2356927951;69058132400000
